2015-01-25 01:31:34,169 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-site:sportaholic-site:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-site/pom.xml.
2015-01-25 01:31:34,947 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-adm/src/main/java
2015-01-25 01:31:34,947 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /sportaholic-adm/src/main/resources overlaps with sources folder /sportaholic-adm/src/main/resources
2015-01-25 01:31:34,948 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-adm/src/test/java
2015-01-25 01:31:36,381 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-core/src/java/main
2015-01-25 01:31:36,381 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-core/src/test/java
2015-01-25 01:31:36,581 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-site/src/main/java
2015-01-25 01:31:36,581 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /sportaholic-site/src/main/resources overlaps with sources folder /sportaholic-site/src/main/resources
2015-01-25 01:31:36,590 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-site/src/test/java
2015-01-25 01:31:37,345 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-adm:sportaholic-adm:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/pom.xml.
2015-01-25 01:31:38,019 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for sportaholic-adm
2015-01-25 01:31:38,178 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-core:sportaholic-core:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-core/pom.xml.
2015-01-25 01:31:38,449 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-site:sportaholic-site:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-site/pom.xml.
2015-01-25 01:31:39,124 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for sportaholic-site
2015-01-25 01:31:39,130 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2015-01-25 01:31:40,782 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:40,783 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:31:40,784 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:40,784 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:31:41,297 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:41,306 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2015-01-25 01:31:41,320 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:41,320 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/src/test/resources
2015-01-25 01:31:41,589 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:41,589 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:31:41,590 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:41,590 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:31:41,652 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:41,656 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-01-25 01:31:41,670 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:31:41,670 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/src/test/resources
